Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2017-06-30,154.28,154.5,153.14,153.83,3501395.0,0.0,1.0,151.15996979633002,151.37552069959,150.0430242067,150.71907022147,3501395.0
2017-06-29,155.35,155.74,153.62,154.13,3245649.0,0.0,1.0,152.20833100765,152.59044397251998,150.51331708653998,151.01300327138,3245649.0
2017-06-28,155.15,155.55,154.78,155.32,2203062.0,0.0,1.0,152.01237564104,152.40428637425,151.64985821283,152.17893770265,2203062.0
2017-06-27,155.0,155.34,154.5,154.75,2385619.0,0.0,1.0,151.86540911609,152.19853323931002,151.37552069959,151.62046490784,2385619.0
2017-06-26,154.71,155.75,154.63,155.23,2129945.0,0.0,1.0,151.58127383452,152.60024174084998,151.50289168788,152.09075778768,2129945.0
2017-06-23,154.34,154.68,153.8,154.11,3148468.0,0.0,1.0,151.21875640631,151.55188052953002,150.68967691648,150.99340773472,3148468.0
2017-06-22,154.55,154.99,153.69,154.4,2361275.0,0.0,1.0,151.42450954123998,151.85561134776,150.58190146485,151.27754301629,2361275.0
2017-06-21,155.79,155.79,153.39,153.79,3934281.0,0.0,1.0,152.63943281417,152.63943281417,150.28796841495,150.67987914815,3934281.0
2017-06-20,154.48,155.389,154.25,154.95,4469538.0,0.0,1.0,151.35592516293002,152.24654230413,151.13057649133998,151.81642027444,4469538.0
2017-06-19,155.51,155.86,154.54,154.84,4381436.0,0.0,1.0,152.36509530093,152.70801719248,151.41471177291,151.70864482281002,4381436.0
2017-06-16,154.23,155.42,152.9676,155.38,6128190.0,0.0,1.0,151.11098095468,152.27691538596,149.87411068069,152.23772431264,6128190.0
2017-06-15,153.29,154.69,153.29,154.22,4626272.0,0.0,1.0,150.18999073165,151.56167829786,150.18999073165,151.10118318635,4626272.0
2017-06-14,153.97,154.9399,152.94,153.81,3035864.0,0.0,1.0,150.85623897809998,151.80652452843,149.8470688401,150.69947468481,3035864.0
2017-06-13,155.44,155.48,154.15,154.25,3509558.0,0.0,1.0,152.29651092262,152.33570199593998,151.03259880803998,151.13057649133998,3509558.0
2017-06-12,154.19,157.2,154.02,155.18,6461725.0,0.0,1.0,151.07178988136002,154.02091814871,150.90522781975,152.04176894603,6461725.0
2017-06-09,152.0,154.265,151.88,154.1,4355401.0,0.0,1.0,148.92607861706998,151.14527314383002,148.80850539711,150.98360996639,4355401.0
2017-06-08,151.0,152.82,150.92,152.1,3681319.0,0.0,1.0,147.94630178406,149.72949562014,147.86791963742,149.02405630036998,3681319.0
2017-06-07,153.05,154.2,150.8,150.98,4858631.0,0.0,1.0,149.95484429173,151.08158764969,147.75034641746,147.9267062474,4858631.0
2017-06-06,152.0,152.89,152.0,152.37,3786593.0,0.0,1.0,148.92607861706998,149.79807999845,148.92607861706998,149.28859604528,3786593.0
2017-06-05,151.82,152.93,151.6826,152.41,3971157.0,0.0,1.0,148.74971878713,149.83727107177,148.61509745027,149.3277871186,3971157.0
2017-06-02,153.07,153.2,151.8,152.05,3573193.0,0.0,1.0,149.97443982839,150.10181081668,148.73012325047,148.97506745872,3573193.0
